Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
applying program comprehension techniques to karel robot programs	N. Oliveira; P. R. Henriques; D. da Cruz; M. J. Varanda Pereira; M. Mernik; T. Kosar; M. Črepinšek	10.1109/IMCSIT.2009.5352762	https://doi.org/10.1109/IMCSIT.2009.5352762		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5352762	https://www.scopus.com/inward/record.url?eid=2-s2.0-78649742717&partnerID=40&md5=ca455518b08767b8623eba856234210f
applying program understanding technology to ibm product documentation	Graham Ewart, Marijana Tomic	10.5555/782185.782200	https://doi.org/10.5555/782185.782200	https://dl.acm.org/doi/10.5555/782185.782200		
applying the signature concept to planbased program understanding	Yachai Limpiyakorn, Ilene Burnstein	10.5555/942800.943610	https://doi.org/10.5555/942800.943610	https://dl.acm.org/doi/10.5555/942800.943610	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1235438	https://www.scopus.com/inward/record.url?eid=2-s2.0-77956615751&partnerID=40&md5=add65846ea038198e48f70a83cc902fe
applying webmining techniques to execution traces to support the program comprehension process	Andy Zaidman, Toon Calders, Serge Demeyer, Jan Paredaens	10.1109/CSMR.2005.12	https://doi.org/10.1109/CSMR.2005.12	https://dl.acm.org/doi/10.1109/CSMR.2005.12	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1402122	https://www.scopus.com/inward/record.url?eid=2-s2.0-26844506710&partnerID=40&md5=a595011133f0a6c33b53171a3e54b9e5
approach for gui testing based on event handler function	Chen, J.-C., Xue, Y.-Z., Zhao, C.	10.3724/SP.J.1001.2013.04399	https://doi.org/10.3724/SP.J.1001.2013.04399			https://www.scopus.com/inward/record.url?eid=2-s2.0-84891842152&partnerID=40&md5=866c1d2c7e4041f8c8d3937e7556dd85
approach to limit the wynot problem	Antoniol, G., Casazza, G., Cimitile, A., Tortorella, M.	10.1109/icsm.2000.883048	https://doi.org/10.1109/icsm.2000.883048			https://www.scopus.com/inward/record.url?eid=2-s2.0-0034506060&partnerID=40&md5=63399107150107831705401b78b1bf34
approaches to clustering for program comprehension and remodularization	Timothy C. Lethbridge, Nicolas Anquetil	10.5555/505630.505637	https://doi.org/10.5555/505630.505637	https://dl.acm.org/doi/10.5555/505630.505637		
approaches to program comprehension	D. J. Robson, K. H. Bennett, B. J. Cornelius, M. Munro	10.1016/0164-1212%2891%2990092-K	https://doi.org/10.1016/0164-1212%2891%2990092-K	https://dl.acm.org/doi/10.1016/0164-1212%2891%2990092-K		https://www.scopus.com/inward/record.url?eid=2-s2.0-50749134779&partnerID=40&md5=0b5ed5142a6100b6691fbe2dd9f1ee4a
araz a software modules clustering method using the combination of particle swarm optimization and genetic algorithms	Arasteh, B., Sadegi, R., Arasteh, K.	10.3233/IDT-200070	https://doi.org/10.3233/IDT-200070			https://www.scopus.com/inward/record.url?eid=2-s2.0-85099558782&partnerID=40&md5=913bfd1df0126a66d945e9cab16033bb
arcametes a learning approach for metamorphic exploration and testing	Jarman, D., Smith, R., Johnston, O., Towey, D., Zhou, Z.Q.	10.1145/3387940.3391482	https://doi.org/10.1145/3387940.3391482			https://www.scopus.com/inward/record.url?eid=2-s2.0-85093086018&partnerID=40&md5=bc004d94046406acdf3149bc339e9151
arcc assistant for repetitive code comprehension	Wilberto Z. Nunez, Victor J. Marin, Carlos R. Rivero	10.1145/3106237.3122824	https://doi.org/10.1145/3106237.3122824	https://dl.acm.org/doi/10.1145/3106237.3122824		https://www.scopus.com/inward/record.url?eid=2-s2.0-85030772412&partnerID=40&md5=773e487a5798d3c0651031b0867b1607
