type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
article	An information retrieval process to aid in the analysis of code clones	an information retrieval process to aid in the analysis of code clones	10.1007/s10664-008-9089-1	https://dl.acm.org/doi/10.1007/s10664-008-9089-1	Robert Tairas, Jeff Gray	Empirical Software Engineering (KLU-EMSE)	01 February 2009
Article	Exploiting UML dynamic object modeling for the visualization of C++ programs	exploiting uml dynamic object modeling for the visualization of c++ programs	10.1145/1056018.1056033	https://dl.acm.org/doi/10.1145/1056018.1056033	Brian A. Malloy, James F. Power	SoftVis '05: Proceedings of the 2005 ACM symposium on Software visualization	14 May 2005
Article	Dynamic Model Design Recovery and Architecture Abstraction of Object Oriented Software	dynamic model design recovery and architecture abstraction of object oriented software	10.1109/CSMR.2005.26	https://dl.acm.org/doi/10.1109/CSMR.2005.26	Qingshan Li	CSMR '05: Proceedings of the Ninth European Conference on Software Maintenance and Reengineering	21 March 2005
Article	Extracting Business Logic from Existing COBOL Programs as a Basis for Redevelopment	extracting business logic from existing cobol programs as a basis for redevelopment	10.5555/876902.881270	https://dl.acm.org/doi/10.5555/876902.881270		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
research-article	HQLgen: deep learning based HQL query generation from program context	hqlgen deep learning based hql query generation from program context	10.1007/s10515-022-00359-5	https://dl.acm.org/doi/10.1007/s10515-022-00359-5	Ziyi Zhou, Huiqun Yu, Guisheng Fan, Zijie Huang, Kang Yang, Jiayin Zhang	Automated Software Engineering (KLU-AUSE)	01 November 2022
research-article	How does feature dependency affect configurable system comprehensibility?	how does feature dependency affect configurable system comprehensibility	10.1109/ICPC.2019.00016	https://dl.acm.org/doi/10.1109/ICPC.2019.00016	Djan Santos, Cláudio Sant'Anna	ICPC '19: Proceedings of the 27th International Conference on Program Comprehension	25 May 2019
research-article	The effect of poor source code lexicon and readability on developers' cognitive load	the effect of poor source code lexicon and readability on developers cognitive load	10.1145/3196321.3196347	https://dl.acm.org/doi/10.1145/3196321.3196347	Sarah Fakhoury, Yuzhan Ma, Venera Arnaoudova, Olusola Adesope	ICPC '18: Proceedings of the 26th Conference on Program Comprehension	28 May 2018
Article	An Analysis of Goal Orientation Pattern and Self-Efficacy for Explanation of Programming Plans	an analysis of goal orientation pattern and selfefficacy for explanation of programming plans	10.1109/ICALT.2015.93	https://dl.acm.org/doi/10.1109/ICALT.2015.93	Chung-Cheng Tseng, Po-Yao Chao, K. Robert Lai	ICALT '15: Proceedings of the 2015 IEEE 15th International Conference on Advanced Learning Technologies	06 July 2015
Article	Visualizing Software Structure Understandability	visualizing software structure understandability	10.1109/ASWEC.2014.17	https://dl.acm.org/doi/10.1109/ASWEC.2014.17	Philippe Dugerdil, Mihnea Niculescu	ASWEC '14: Proceedings of the 2014 23rd Australian Software Engineering Conference	07 April 2014
Article	A Feature Model of Framework Applications	a feature model of framework applications	10.1109/SNPD.2013.14	https://dl.acm.org/doi/10.1109/SNPD.2013.14	Izur Kume, Masahide Nakamura, Naoya Nitta, Etsuya Shibayama	SNPD '13: Proceedings of the 2013 14th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	01 July 2013
research-article	Using fold-in and fold-out in the architecture recovery of software systems	using foldin and foldout in the architecture recovery of software systems	10.1007/s00165-011-0199-y	https://dl.acm.org/doi/10.1007/s00165-011-0199-y	Michele Risi, Giuseppe Scanniello, Genoveffa Tortora	Formal Aspects of Computing (FAC)	01 May 2012
research-article	Developers ask reachability questions	developers ask reachability questions	10.1145/1806799.1806829	https://dl.acm.org/doi/10.1145/1806799.1806829	Thomas D. LaToza, Brad A. Myers	ICSE '10: Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - Volume 1	01 May 2010
Article	A Context-Driven Software Comprehension Process Model	a contextdriven software comprehension process model	10.1109/SOFTWARE-EVOLVABILITY.2006.1	https://dl.acm.org/doi/10.1109/SOFTWARE-EVOLVABILITY.2006.1	Wen Jun Meng, Juergen Rilling, Yonggang Zhang, Rene Witte, Sudhir Mudur, Philippe Charland	SOFTWARE-EVOLVABILITY '06: Proceedings of the Second International IEEE Workshop on Software Evolvability	24 September 2006
article	NaraView: An Interactive 3D Visualization System for Parallelization of Programs	naraview an interactive 3d visualization system for parallelization of programs	10.5555/608718.608773	https://dl.acm.org/doi/10.5555/608718.608773	Mariko Sasakura, Kazuki Joe, Yoshitoshi Kunieda, Keijiro Araki	International Journal of Parallel Programming (IJPP)	01 April 1999
research-article	Documenting software systems with views VI: lessons learned from 15 years of research & practice	documenting software systems with views vi lessons learned from 15 years of research & practice	10.1145/1621995.1622043	https://dl.acm.org/doi/10.1145/1621995.1622043	Scott Tilley	SIGDOC '09: Proceedings of the 27th ACM international conference on Design of communication	05 October 2009
Article	On the Discovery of Business Processes Orchestration Patterns	on the discovery of business processes orchestration patterns	10.1109/SERVICES-1.2008.58	https://dl.acm.org/doi/10.1109/SERVICES-1.2008.58	Nuno Miguel Feixa Rodrigues, Luis Soares Barbosa	SERVICES '08: Proceedings of the 2008 IEEE Congress on Services - Part I	06 July 2008
Article	Automated Support for Program Refactoring using Invariants	automated support for program refactoring using invariants	10.1109/ICSM.2001.972794	https://dl.acm.org/doi/10.1109/ICSM.2001.972794	Yoshio Kataoka, David Notkin, Michael D. Ernst, William G. Griswold	ICSM '01: Proceedings of the IEEE International Conference on Software Maintenance (ICSM'01)	07 November 2001
Article	Using ontology reasoning for reverse engineering design patterns	using ontology reasoning for reverse engineering design patterns	10.1007/978-3-642-12261-3_32	https://dl.acm.org/doi/10.1007/978-3-642-12261-3_32	Awny Alnusair, Tian Zhao	MODELS'09: Proceedings of the 2009 international conference on Models in Software Engineering	04 October 2009
Article	A multi-perspective software visualization environment	a multiperspective software visualization environment	10.5555/782034.782049	https://dl.acm.org/doi/10.5555/782034.782049	Jingwei Wu, Margaret-Anne D. Storey	CASCON '00: Proceedings of the 2000 conference of the Centre for Advanced Studies on Collaborative research	13 November 2000
Article	Visualizing interactions in program executions	visualizing interactions in program executions	10.1145/253228.253356	https://dl.acm.org/doi/10.1145/253228.253356	Dean F. Jerding, John T. Stasko, Thomas Ball	ICSE '97: Proceedings of the 19th international conference on Software engineering	01 May 1997
research-article	Exploring Modal Locking in Window Manipulation: Why Programmers Should Stash, Duplicate, Split, and Link Composite Views	exploring modal locking in window manipulation why programmers should stash, duplicate, split, and link composite views	10.1145/3464432.3464433	https://dl.acm.org/doi/10.1145/3464432.3464433	Marcel Taeumel, Robert Hirschfeld	Programming '21: Companion Proceedings of the 5th International Conference on the Art, Science, and Engineering of Programming	22 March 2021
Article	Identifying dynamic data structures by learning evolving patterns in memory	identifying dynamic data structures by learning evolving patterns in memory	10.1007/978-3-642-36742-7_25	https://dl.acm.org/doi/10.1007/978-3-642-36742-7_25	David H. White, Gerald Lüttgen	TACAS'13: Proceedings of the 19th international conference on Tools and Algorithms for the Construction and Analysis of Systems	16 March 2013
extended-abstract	Multiple visualizations and debugging: how do we co-ordinate these?	multiple visualizations and debugging how do we coordinate these	10.1145/2212776.2223670	https://dl.acm.org/doi/10.1145/2212776.2223670	Prateek Hejmady, N. Hari Narayanan	CHI EA '12: CHI '12 Extended Abstracts on Human Factors in Computing Systems	05 May 2012
research-article	Dependence cluster visualization	dependence cluster visualization	10.1145/1879211.1879227	https://dl.acm.org/doi/10.1145/1879211.1879227	Syed S. Islam, Jens Krinke, David Binkley	SOFTVIS '10: Proceedings of the 5th international symposium on Software visualization	25 October 2010
article	Shimba—an environment for reverse engineering Java software systems	shimba—an environment for reverse engineering java software systems	10.1002/spe.386	https://dl.acm.org/doi/10.1002/spe.386	Tarja Systä, Kai Koskimies, Hausi Müller	Software—Practice & Experience (SPRE)	10 April 2001
Article	Visualizing dynamic software system information through high-level models	visualizing dynamic software system information through highlevel models	10.1145/286936.286966	https://dl.acm.org/doi/10.1145/286936.286966	Robert J. Walker, Gail C. Murphy, Bjorn Freeman-Benson, Darin Wright, Darin Swanson, Jeremy Isaak	OOPSLA '98: Proceedings of the 13th ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications	01 October 1998
article	Experimental investigations of the utility of detailed flowcharts in programming	experimental investigations of the utility of detailed flowcharts in programming	10.1145/359605.359610	https://dl.acm.org/doi/10.1145/359605.359610	Ben Shneiderman, Richard Mayer, Don McKay, Peter Heller	Communications of the ACM (CACM)	01 June 1977
article	Hierarchical modularity	hierarchical modularity	10.1145/325478.325518	https://dl.acm.org/doi/10.1145/325478.325518	Matthias Blume, Andrew W. Appel	ACM Transactions on Programming Languages and Systems (TOPLAS)	01 July 1999
research-article	Semantic clone detection using method IOE-behavior	semantic clone detection using method ioebehavior	10.5555/2664398.2664414	https://dl.acm.org/doi/10.5555/2664398.2664414	Rochelle Elva, Gary T. Leavens	IWSC '12: Proceedings of the 6th International Workshop on Software Clones	04 June 2012
article	Artifacts recovery and understanding using high level models	artifacts recovery and understanding using high level models	10.5555/1718140.1718149	https://dl.acm.org/doi/10.5555/1718140.1718149	Nadim Asif, Faisal Shahzad, Najia Saher, Rafaquet Kazami, Waseem Nazar	WSEAS Transactions on Information Science and Applications (WSTOISAA)	01 November 2009
chapter	Pattern matching for clone and concept detection	pattern matching for clone and concept detection	10.5555/265619.265626	https://dl.acm.org/doi/10.5555/265619.265626	K. A. Kontogiannis, R. Demori, E. Merlo, M. Galler, M. Bernstein	Reverse engineering	01 January 1996
article	Software reconnaissance: mapping program features to code	software reconnaissance mapping program features to code	10.1002/smr.4360070105	https://dl.acm.org/doi/10.1002/smr.4360070105	Norman Wilde, Michael C. Scully	Journal of Software Maintenance: Research and Practice (JSWM)	15 January 1995
Article	A Cliche'-Based Environment to Support Architectural Reverse Engineering	a clichebased environment to support architectural reverse engineering	10.5555/645544.655857	https://dl.acm.org/doi/10.5555/645544.655857	Roberto Fiutem, Paolo Tonella, Giuliano Antoniol, Ettore Merlo	ICSM '96: Proceedings of the 1996 International Conference on Software Maintenance	04 November 1996
research-article	Identification of Dynamic Comprehension Processes During Large Scale Maintenance	identification of dynamic comprehension processes during large scale maintenance	10.1109/32.508315	https://dl.acm.org/doi/10.1109/32.508315	A. von Mayrhauser, A. M. Vans	IEEE Transactions on Software Engineering (ISOF)	01 June 1996
report	A tool for assisting the understanding and formal development of software	a tool for assisting the understanding and formal development of software	10.5555/174011	https://dl.acm.org/doi/book/10.5555/174011	S. K. Abd-el-Hafiz, V. R. Basili		01 October 1993
research-article	Do you remember this source code?	do you remember this source code	10.1145/3180155.3180215	https://dl.acm.org/doi/10.1145/3180155.3180215	Jacob Krüger, Jens Wiemann, Wolfram Fenske, Gunter Saake, Thomas Leich	ICSE '18: Proceedings of the 40th International Conference on Software Engineering	27 May 2018
