type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	A Multiple View Interactive Environment to Support MATLAB and GNU/Octave Program Comprehension	a multiple view interactive environment to support matlab and gnu/octave program comprehension	10.1109/ITNG.2015.93	https://dl.acm.org/doi/10.1109/ITNG.2015.93	Ivan de M. Lessa, Glauco de F. Carneiro, Miguel Jorge T. P. Monteiro, Fernando Brito e. Abreu	ITNG '15: Proceedings of the 2015 12th International Conference on Information Technology - New Generations	13 April 2015
Article	Evaluation of a knowledge-based approach to program understanding	evaluation of a knowledgebased approach to program understanding	10.5555/525595.836961	https://dl.acm.org/doi/10.5555/525595.836961	S. K. Abd-El-Hafiz	WCRE '96: Proceedings of the 3rd Working Conference on Reverse Engineering (WCRE '96)	08 November 1996
research-article	Are visual programming languages better? The role of imagery in program comprehension	are visual programming languages better the role of imagery in program comprehension	10.1006/ijhc.2000.0465	https://dl.acm.org/doi/10.1006/ijhc.2000.0465	RAQUEL NAVARRO-PRIETO, JOSE J. CAÑAS	International Journal of Human-Computer Studies (IJHC)	01 June 2001
Article	On Inserting Program Understanding Technology into the Software Change Process	on inserting program understanding technology into the software change process	10.5555/525394.837852	https://dl.acm.org/doi/10.5555/525394.837852	Kenny Wong	WPC '96: Proceedings of the 4th International Workshop on Program Comprehension (WPC '96)	29 March 1996
Article	Analyzer-generated and human-judged predictors of computer program readability	analyzergenerated and humanjudged predictors of computer program readability	10.1145/800049.801784	https://dl.acm.org/doi/10.1145/800049.801784	Gerrit E. DeYoung, Garry R. Kampen, James M. Topolski	CHI '82: Proceedings of the 1982 Conference on Human Factors in Computing Systems	15 March 1982
book	Techniques of Program Structure and Design	techniques of program structure and design	10.5555/536125	https://dl.acm.org/doi/book/10.5555/536125	Edward Yourdon		01 October 1986
Article	Evaluating process clusters to support automatic program understanding	evaluating process clusters to support automatic program understanding	10.5555/525394.837860	https://dl.acm.org/doi/10.5555/525394.837860	T. Kunz	WPC '96: Proceedings of the 4th International Workshop on Program Comprehension (WPC '96)	29 March 1996
chapter	Program understanding and knowledge organization: the influence of acquired schemata	program understanding and knowledge organization the influence of acquired schemata	10.5555/103362.103603	https://dl.acm.org/doi/10.5555/103362.103603	F. Détienne	Cognitive ergonomics	03 January 1990
Article	Early field experience with the Software Reconnaissance technique for program comprehension	early field experience with the software reconnaissance technique for program comprehension	10.5555/645544.655868	https://dl.acm.org/doi/10.5555/645544.655868	Norman Wilde, Christopher Casey	ICSM '96: Proceedings of the 1996 International Conference on Software Maintenance	04 November 1996
article	Specifying program structure through sequence relationships	specifying program structure through sequence relationships	10.1145/954627.954631	https://dl.acm.org/doi/10.1145/954627.954631	Tony Middleton	ACM SIGPLAN Notices (SIGPLAN)	01 October 1977
doctoral_thesis	A study of computer program structure.	a study of computer program structure.	10.5555/907704	https://dl.acm.org/doi/book/10.5555/907704	Roy Alejandro Maddux		01 January 1975
