type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2517215,Sandro  Schulze and J&#246;rg  Liebig and Janet  Siegmund and Sven  Apel,,,,Does the Discipline of Preprocessor Annotations Matter?: A Controlled Experiment,65--74,,10,"c preprocessor, controlled experiment, disciplined annotations, program comprehension, variability",10.1145/2637365.2517215,SIGPLAN Not.,March 2014,49,3,,October,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
article,2517215,Sandro  Schulze and J&#246;rg  Liebig and Janet  Siegmund and Sven  Apel,,,,Does the Discipline of Preprocessor Annotations Matter?: A Controlled Experiment,65--74,,10,"c preprocessor, controlled experiment, disciplined annotations, program comprehension, variability",10.1145/2517208.2517215,,,,,,,2013,,Proceedings of the 12th International Conference on Generative Programming: Concepts &#38; Experiences,GPCE '13,,978-1-4503-2373-4,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
article,944278,Thomas R. Dean and James R. Cordy and Andrew J. Malton and Kevin A. Schneider,,,,Agile Parsing in TXL,311--336,,26,"agile parsing, grammar adaptation, grammars, parsing, program comprehension, source transformation",10.1023/A:1025801405075,Automated Software Engg.,October 2003,10,4,,October,2003,0928-8910,,,,,,Kluwer Academic Publishers,"Norwell, MA, USA"
article,1370931,Norman  Wilde and Sharon  Simmons and Michael  Pressel and Joseph  Vandeville,,,,Understanding Features in SOA: Some Experiences from Distributed Systems,59--62,,4,"design recovery, program comprehension, services oriented architecture, soa, software reconnaissance",10.1145/1370916.1370931,,,,,,,2008,,Proceedings of the 2Nd International Workshop on Systems Development in SOA Environments,SDSOA '08,,978-1-60558-029-6,"Leipzig, Germany",ACM,"New York, NY, USA"
article,2168592,Prateek  Hejmady and N. Hari Narayanan,,,,Visual Attention Patterns During Program Debugging with an IDE,197--200,,4,"eye-tracking, gaze patterns, program comprehension, program debugging",10.1145/2168556.2168592,,,,,,,2012,,Proceedings of the Symposium on Eye Tracking Research and Applications,ETRA '12,,978-1-4503-1221-9,"Santa Barbara, California",ACM,"New York, NY, USA"
article,1056044,Robert  DeLine and Amir  Khella and Mary  Czerwinski and George  Robertson,,,,Towards Understanding Programs Through Wear-based Filtering,183--192,,10,"collaborative filtering, computational wear, implicit query, program comprehension, software visualization",10.1145/1056018.1056044,,,,,,,2005,,Proceedings of the 2005 ACM Symposium on Software Visualization,SoftVis '05,,1-59593-073-6,"St. Louis, Missouri",ACM,"New York, NY, USA"
article,1985987,Michael  Stengel and Mathias  Frisch and Sven  Apel and Janet  Feigenspan and Christian  K&#228;stner and Raimund  Dachselt,,,,View Infinity: A Zoomable Interface for Feature-oriented Software Development,1031--1033,,3,"program comprehension, semantic zooming, software product lines, variability",10.1145/1985793.1985987,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1915896,Michele  Risi and Giuseppe  Scanniello and Genoveffa  Tortora,,,,Architecture Recovery Using Latent Semantic Indexing and K-Means: An Empirical Evaluation,103--112,,10,"Software Partitioning, Latent Semantic Indexing, Clustering, Program Comprehension, Software Maintenance",10.1109/SEFM.2010.19,,,,,,,2010,,Proceedings of the 2010 8th IEEE International Conference on Software Engineering and Formal Methods,SEFM '10,,978-0-7695-4153-2,,IEEE Computer Society,"Washington, DC, USA"
article,1919610,Latifa  Guerrouj,,,,Automatic Derivation of Concepts Based on the Analysis of Source Code Identifiers,301--304,,4,"Identifier Splitting, Program Comprehension, Linguistic Analysis, Software Quality",10.1109/WCRE.2010.45,,,,,,,2010,,Proceedings of the 2010 17th Working Conference on Reverse Engineering,WCRE '10,,978-0-7695-4123-5,,IEEE Computer Society,"Washington, DC, USA"
article,1183006,Sharon  Simmons and Dennis  Edwards and Norman  Wilde and Josh  Homan and Michael  Groble,,,,Industrial Tools for the Feature Location Problem: An Exploratory Study: Practice Articles,457--474,,18,"feature location, program comprehension, software maintenance, tool adaptation",10.1002/smr.v18:6,J. Softw. Maint. Evol.,November 2006,18,6,,November,2006,1532-060X,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,2550606,Aiko  Yamashita and Leon  Moonen,,,,Towards a Taxonomy of Programming-Related Difficulties During Maintenance,424--427,,4,"maintainability, maintenance difficulties, maintenance problems, program comprehension, empirical study",10.1109/ICSM.2013.63,,,,,,,2013,,Proceedings of the 2013 IEEE International Conference on Software Maintenance,ICSM '13,,978-0-7695-4981-1,,IEEE Computer Society,"Washington, DC, USA"
article,2555123,Izuru  Kume and Naoya  Nitta and Masahide  Nakamura and Etsuya  Shibayama,,,,A Dynamic Analysis Technique to Extract Symptoms That Suggest Side Effects in Framework Applications,1176--1178,,3,"application frameworks, debug, dynamic analysis, program comprehension, side effect, symptoms",10.1145/2554850.2555123,,,,,,,2014,,Proceedings of the 29th Annual ACM Symposium on Applied Computing,SAC '14,,978-1-4503-2469-4,"Gyeongju, Republic of Korea",ACM,"New York, NY, USA"
article,1147240,Yiannis  Kanellopoulos and Thimios  Dimopulos and Christos  Tjortjis and Christos  Makris,,,,Mining Source Code Elements for Comprehending Object-oriented Systems and Evaluating Their Maintainability,33--40,,8,"clustering, code mining, maintainability, metrics, program comprehension, software maintenance",10.1145/1147234.1147240,SIGKDD Explor. Newsl.,June 2006,8,1,,June,2006,1931-0145,,,,,,ACM,"New York, NY, USA"
article,1710306,Ghulam  Rasool and Ilka  Philippow and Patrick  M&#228;der,,,,Design Pattern Recovery Based on Annotations,519--526,,8,"Annotations, Design patterns, Formal specifications, Program comprehension, Reverse engineering",10.1016/j.advengsoft.2009.10.014,Adv. Eng. Softw.,"April, 2010",41,4,,April,2010,0965-9978,,,,,,Elsevier Science Ltd.,"Oxford, UK, UK"
article,2617710,Lauren R. Biggers and Cecylia  Bocovich and Riley  Capshaw and Brian P. Eddy and Letha H. Etzkorn and Nicholas A. Kraft,,,,Configuring Latent Dirichlet Allocation Based Feature Location,465--500,,36,"Feature location, Program comprehension, Software evolution, Static analysis, Text retrieval",10.1007/s10664-012-9224-x,Empirical Softw. Engg.,June      2014,19,3,,June,2014,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
article,1809183,Thomas D. LaToza and Brad A. Myers,,,,Searching Across Paths,29--32,,4,"code navigation, developer questions, program comprehension, software maintenance",10.1145/1809175.1809183,,,,,,,2010,,"Proceedings of 2010 ICSE Workshop on Search-driven Development: Users, Infrastructure, Tools and Evaluation",SUITE '10,,978-1-60558-962-6,"Cape Town, South Africa",ACM,"New York, NY, USA"
article,1487440,Robert  Tairas and Jeff  Gray,,,,An Information Retrieval Process to Aid in the Analysis of Code Clones,33--56,,24,"Code clone analysis, Information retrieval, Latent semantic indexing, Program comprehension",10.1007/s10664-008-9089-1,Empirical Softw. Engg.,February  2009,14,1,,February,2009,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
